Number_of_student_enrolled,course_id,course_name,course_rating,instructor,is_paid,platform,sources,user_comments
,nlp_class_vector,Natural Language Processing with Classification and Vector Spaces,4.6,"Younes Bensouda Mourri, Łukasz Kaiser, Eddy Shyu",Paid,Coursera,"[""https://www.coursera.org/learn/classification-vector-spaces-in-nlp"", ""https://www.coursera.org/learn/classification-vector-spaces-in-nlp/reviews""]","[""I really enjoy and this course is exactly what I expect. Tutors explained many ideas clearly, especially Lin Ukkahn's lesson. I recommend everyone who is a beginner and has interest in NLP join this course."", ""This course is excellent and is well-organized. Everything is presented clearly. I would highly recommend it!"", ""It is significantly oversimplified. The videos are very short (1-3 minutes) and provide almost no intuition. They merely show the source code without explaining it. The homeworks are just filling in variables on the code given by the instructions, so if you Google the names of functions from the hints in this course you will get the answer. The practice quizzes add nothing."", ""The course is far too simplistic and superficial. Weeks consist of many 1-2 minute videos that give intuition but no details. The coding tasks are mostly copy-pasting incomplete code. It lacks clarity and depth."", ""The concept is not clearly explained at all. The instructor seems to be just reading a script. He did not try to explain the math. Instead, he uses graphs to try to fool us. The other instructor hardly teaches anything but just to show his face and say a few opening sentences. I took Andrew Ng's courses and was impressed, but I am very disappointed by the quality of this course. Deeplearning.ai, please have some quality control over the courses you offer, otherwise it hurts your brand name!"", ""The course is rather disappointing. Videos are short. They give you an intuition why something works but don't go much into the details. When teacher said \""Now you are an expert in transformers\"" it sounded like a mockery. The course material is split into four weeks, yet you can get a certificate in a few days. Homeworks won't teach you much. If you treat this course as introductory, you could take it, but don't expect too much."", ""Superficial coverage of topics, lack of mathematical depth and sophistication. Dumbing down and simplification never help."", ""All the videos in this course are very short and students only learn basic stuff. The homeworks are mostly implementing what was shown in the lectures, with little new code or thinking. There was a lack of detailed explanations."", ""The course content is fairly simple and summarized. The hands-on activities are mostly following instructions. However, it is a decent overview for beginners."", ""I'm a master's student who took an NLP course in university. The first 3 courses of this specialization are good, but this one was disappointing. The last 2 weeks are a complete sham. They claim to teach \""BERT\"" and \""T5\"" but don't really give any value. You're better off going elsewhere to learn these concepts.""]"
,nlp_fundamentals,Fundamentals of Natural Language Processing,,James Martin,Paid,Coursera,"[""https://www.coursera.org/learn/fundamentals-natural-language-processing""]","[""The course content was well-structured and easy to follow, though some topics could have been explained in more depth."", ""Good for beginners — covers the basics clearly but might feel a bit slow for advanced learners."", ""The instructor explains concepts logically, but real-world examples would make it more engaging."", ""I liked the step-by-step approach, though some sections felt slightly repetitive."", ""Useful material overall, but I wish there were more hands-on exercises or quizzes."", ""The pacing was comfortable, and the instructor’s communication was clear and concise."", ""Great introduction to the topic — provides a solid foundation for further learning."", ""Decent course with good coverage of fundamentals, though the visuals could be improved."", ""It’s a good learning experience, especially if you’re new to this subject area."", ""Informative and well-organized, but certain advanced topics were only briefly touched upon.""]"
,nlp_attention_models,Natural Language Processing with Attention Models,4.4,"Younes Bensouda Mourri, Łukasz Kaiser, Eddy Shyu",Paid,Coursera,"[""https://www.coursera.org/learn/attention-models-in-nlp"", ""https://www.coursera.org/learn/attention-models-in-nlp/reviews""]","[""Can the instructors make maybe a video explaining the ungraded lab? That will be useful. Other students find it difficult to understand both LSH attention layer ungraded lab. Thanks"", ""Not up to expectations. Needs more explanation on some topics. Some were difficult to understand, examples might have helped!!"", ""The concept is not clearly explained at all. The instructor seems to be just reading a script. He did not try to explain the math. Instead, he uses graphs to try to fool us. The other instructor hardly teaches anything but just to show his face and say a few opening sentences. I took Andrew Ng's courses and was impressed, but I am very disappointed by the quality of this course. Deeplearning.ai, please have some quality control over the courses you offer, otherwise it hurts your brand name!"", ""The course is rather disappointing. Videos are short. They give you an intuition, why something works but don't go much into the details. When teacher said \""Now you are an expert in transformers\"" it sounds like a mockery. The course material is split into four weeks, however you can obtain certificate after spending a few days. Homeworks won't teach you much. For you to understand, by now the hardest exercise according to course's Slack is to write a function with model and input tokens as input, which should predict next token. It's body contains only 8 lines of code, some of them is already given, your task is well explained."", ""Superficial coverage of topics, lack of mathematical depth and sophistication. Dumbing down and simplification never help."", ""I feel like I could have learned more by reading on StackOverflow - I didn't learn much here. Quality training materials could have been better."", ""To anyone looking to learn the content for the first time, I would suggest reading the original papers. The videos oversimplify concepts or get them wrong, while the homework is the real content."", ""Very disappointed by this course. I took the specialization to better understand Attention and these few videos are very unclear. I saw in the forum that my sentiment is shared by many people. Hope that Andrew will react and give us better learning material."", ""I'm a master student who took an NLP course in university. The first 3 courses are good, but the 4th one is completely disappointing. First 2 weeks are confusing, last 2 weeks are a sham."", ""This course has a good introduction to attention models, but the practical value is low. The videos are short, and many details (like data preparation, model tuning) are skipped. The labs reinforce the ideas, but an independent text or video resource might be needed to fully grasp the concepts.""]"
,nlp_sequence_models,Natural Language Processing with Sequence Models,4.5,"Younes Bensouda Mourri, Łukasz Kaiser, Eddy Shyu",Paid,Coursera,"[""https://www.coursera.org/learn/sequence-models-in-nlp"", ""https://www.coursera.org/learn/sequence-models-in-nlp/reviews""]","[""This is the third course of NLP Specialization. This was a great course and the instructors were amazing. I really learned and understood everything they taught, like LSTM, GRU, Siamese Networks, etc."", ""Overall it was a great course. A little bit weak in theory, but for practical purposes whatever was sufficient. The detection of question duplication was a very cool model. I enjoyed it a lot."", ""Well, very weak and oversimplified course. All videos are extremely short (1-4 minutes) and do not give any intuition or understanding of the sequence models. GRUs and LSTMs are explained too briefly. The last two assignments can be completed even without watching the lecture videos. To sum up, this course is a short intro to recurrent networks, but do not expect to deepen your knowledge. Totally disappointed."", ""You can't learn anything with 3 minute videos, especially if 1 minute is wasted on repeating the previous video and an intro, and the last minute on a summary. It works for 15-minute lectures, but here it's too short. Also it's strange to list an instructor who only appears for 10 seconds to say 'today I will teach you', while all actual teaching is done by the assistant."", ""Very bad class, a week's material can be done in around 2 hours. Exercises are uninteresting and repetitive. The course is basically just familiarizing with the Trax API and blindly applying neural network architectures with it. The videos are poor and repetitive, and they repeat themselves a lot. Instead of doing this course, it is better to do the original Sequence Models course from deeplearning.ai."", ""Programming assignments not well constructed; need to restart notebooks to get the same exact output as expected. Not all expected outputs are printed out or have test functions similar to course 1. Some concepts in lecture are too quickly glossed over."", ""I think the assignments should have gone deeper. We should have built an LSTM from scratch instead of just using Trax. I can always learn an API, but it would be nice to learn the nitty gritty of the model. I also would prefer longer lecture videos that go into more detail."", ""I have previously completed other courses from deeplearning.ai and here are some thoughts: (1) I like learning about the Trax framework from the Python tutorials. (2) This course improved my understanding of models like Siamese networks. (3) The slides are too fancy and it feels like reading a script, not really teaching. But I learned a lot and hope the next course will be better."", ""Programming notebooks contain a lot of errors and poor writing. The use of Trax instead of TensorFlow or PyTorch reduces usefulness of this course for picking up experience with frameworks I am likely to use."", ""This course is very mechanical, expected more reasoning. It just walked through the topics quickly and extensively. I had to spend hours to build in-depth knowledge via external tutorials. I expected more explanation of what and why, rather than just showing how to use a library.""]"
,nlp_probabilistic_models,Natural Language Processing with Probabilistic Models,4.7,"Younes Bensouda Mourri, Łukasz Kaiser, Eddy Shyu",Paid,Coursera,"[""https://www.coursera.org/learn/probabilistic-models-in-nlp"", ""https://www.coursera.org/learn/probabilistic-models-in-nlp/reviews""]","[""Very good course! It helped me clearly learn about autocorrect, edit distance, Markov chains, n-grams, perplexity, backoff, interpolation, word embeddings, CBOW. This was very helpful!"", ""I'm really thankful to the professors for sharing their knowledge and experience and creating this excellent course. I have learned a lot. Thank you!!!"", ""It is the worst course on deeplearning.ai ever. It is too simple for those who already took the DL specialization and too difficult for new ones. The lectures are too superficial and you will barely understand a thing. The tasks are huge with a lot of spaghetti code and very superficial theory. You'll spend time implementing things without learning how they work. Nobody will teach you to use standard tools on simple examples."", ""Viterbi algorithm could be explained better and Week 4 seemed very rushed with lots of details glossed over. The assignment in week 4 seems pretty easy compared to previous weeks."", ""The lessons are shallow, and exercises are too repetitive."", ""Lots of quality control issues. Using paying customers as proofreaders is tacky."", ""This course is more mature than the first one. Materials are interesting and provide nice intuition for probabilistic models. Basics of autocorrection, HMMs, N-grams, Word2Vec are covered well. I enjoyed it. Some suggestions: lectures could be longer to add depth in math and code; assignments are unbalanced (HMMs assignment is tough, last one is easy); add more theory lectures. I recommend this course to everyone interested in NLP, but use additional resources to reinforce your knowledge."", ""Although the content is great, the teaching method is lacking compared to how Andrew Ng teaches. More interactive teaching would help. The instructor's voice is a bit irritating over long durations. Otherwise the course provides a lot of learning if you can bear it."", ""Very superficial course, just like the rest in the specialization. Quizzes and assignments are a joke. I didn't want to give negative feedback at first, but now that I'm doing course #4 (Attention) I see how bad these courses are. Very sad."", ""A great course indeed! However, it would be even nicer to have the lecture videos in a slower pace, maybe go through the examples in more detail. Sometimes it felt too quick to jump directly from theory to examples.""]"
,nlp_tensorflow,Natural Language Processing in TensorFlow,4.6,Laurence Moroney,Paid,Coursera,"[""https://www.coursera.org/learn/natural-language-processing-tensorflow"", ""https://www.coursera.org/learn/natural-language-processing-tensorflow/reviews""]","[""Laurence Moroney is the best. Before taking the course, I didn’t know anything about AI or ML or TensorFlow. The concepts were explained in such a manner that anyone can learn TensorFlow."", ""Excellent course! He’s just great! Fantastically deep knowledge, easy learning style, very practical presentation. Amazing and extremely useful course. Thank you!"", ""Compared to Andrew’s original ML course and the DeepLearning.AI specialization, this series of courses is very lightweight. The material is very good, well organized and clear, but it can be covered fairly quickly. The NLP course can be completed in an afternoon (all four weeks). Nothing wrong with the material, but I wish there was more of it."", ""Very elementary introduction to NLP applications. As others have mentioned, the whole course can be done in a few hours. The lectures consist of short videos introducing code snippets but without depth. The quizzes test irrelevant details. The exercise notebooks are okay but redundant. After great expectations, I must say the first three courses of this specialization have been extremely disappointing."", ""Missing a lot of things. This entire course could have been made in a single 5-minute video per week."", ""One star for the ML poetry and one star for the content. The content can be learned in a few hours. It’s just a simplistic tutorial. Dilutes the value of Coursera specializations."", ""Not challenging, very much beginner level course. Shouldn’t be tagged as intermediate in my opinion."", ""The course is extremely basic and all the material can easily be covered in an article. Doesn’t build any transferrable skill."", ""Very lightweight course – not more than an hour of real content. Extremely disappointed by this."", ""Too basic. It could have been done in a simple blog post.""]"
,text_mining_analytics,Text Mining and Analytics,4.5,ChengXiang Zhai,Paid,Coursera,"[""https://www.coursera.org/learn/text-mining"", ""https://www.coursera.org/learn/text-mining/reviews""]","[""Outstanding mix of theory and practical applications to help understand the theory. Well organized and excellent presentations. Thank you!"", ""The workflow is clear and the professor speaks to the students directly about all aspects without skimming the material."", ""Annoyingly, the specific prerequisites can’t be determined until AFTER enrolling. This course is in C++, so if you’re not a C++ programmer, it’s probably not a good idea to take this."", ""This course needs updating. Some quizzes cover work not yet taught, and the programming assignment didn’t work with the latest toolkit. For a course of this caliber I expected more attention to detail. The course materials are not actively maintained on the forums."", ""The course focuses on theory with no practical examples. It also doesn’t explain theoretical concepts in detail. It was difficult for me as a new learner to follow such dense concepts."", ""This course is pretty good for full-time grads doing NLP research, but not for part-timers who want concrete skills. The course style is heuristic-based; some answers are missing. Textbooks are needed. It’s hard to cover NLP in 6 weeks, but it could be designed better."", ""I think the course has very limited practical problems; for beginners it’s hard to grasp all the theoretical concepts presented."", ""I didn’t feel like continuing. I had a problem at work that I enrolled to solve text mining efficiently, but it’s all theoretical and too much information in a short time with no examples."", ""The content layout is very good. It gives a big picture about text mining. It’s hard to explain it in 6 weeks, but the professor did it. I hope there will be a follow-up class with more detailed cases and newer topics like knowledge graphs."", ""The content is quite good. Professor Cheng explains the concepts well and I learned quite a bit. Overall it is a good resource.""]"
,applied_text_mining_python,Applied Text Mining in Python,4.2,VG Vinod Vydiswaran,Paid,Coursera,"[""https://www.coursera.org/learn/python-text-mining"", ""https://www.coursera.org/learn/python-text-mining/reviews""]","[""Quite challenging but also quite a sense of accomplishment when you finish the course. I learned a lot and think this was the course I preferred in the specialization. I highly recommend it!"", ""Excellent course! Video lectures are high quality, with realistic problems and applications. Exercises are challenging and fun. Strongly recommend this course."", ""It is no exaggeration to say it took me longer to complete this course than the first 3 courses in the specialization, and the time was utterly wasted. Mostly battling a poorly constructed course, with terrible assignments, a broken autograder and a professor who is disinterested in the education of his students."", ""Very painful to go through this course. It seems to lack systematic structure. It just walks through topics quickly and extensively. I had to spend hours learning from external resources. I hope the course can simplify complicated topics to make life easier."", ""I would see the autograder and unspecified instructions ruin this course. Sometimes you know how to get the answer and it looks right, but you still cannot pass because the autograder is broken. I would not take this course if it wasn’t part of the specialization."", ""Instructor does not explain concepts, just superficially goes through subjects. Some lectures lack coherence between topics. But it introduces some basics worth knowing."", ""Instructor was poor. Inadequate coverage of material, some questions unclear. It was better to read a book on this subject on your own."", ""This is almost a waste of time. The structure can be clearer and the connection to Python is outdated. The assignments are poorly designed."", ""I really wanted to like this course, but overall I'm unable to recommend it. The lectures were poorly explained and the autograder issues are too great.""]"
,gen_ai_nlp_language,Gen AI Foundational Models for NLP & Language Understanding,4.4,IBM Team,Paid,Coursera,"[""https://www.coursera.org/learn/gen-ai-foundational-models-for-nlp-and-language-understanding"", ""https://www.coursera.org/learn/gen-ai-foundational-models-for-nlp-and-language-understanding/reviews""]","[""I have enjoyed this course. I can't wait to apply the skills I have learned in this class. Thank you to the fantastic team."", ""Super course. Labs are very good to learn and are challenging too."", ""The lab code is buggy. You face issues with almost every cell. Some core concepts this module relies on are outdated or deprecated. For example, TorchText was deprecated in 2023. What is the point of teaching it in 2024? Extremely disappointed with IBM."", ""This is an extremely un-educational course and a hugely frustrating experience. It is fundamentally a voice reading through whatever is on a series of slide decks like a robot. There is no effort to make you understand anything, and no actual time to do it while listening. The only practical way to learn is to stop every 30 seconds, read and look up the material elsewhere, then resume. I am proficient in neural networks and GenAI but was completely incapable of following the explanations after the first 5 minutes: boring, robotic, ineffective. This was a very frustrating experience from a learner's perspective."", ""I think the videos were bad for a number of reasons: too much explanation of basics we already know; explanations of what an RNN is was awful; the word2vec lab visualization didn't match the explanation; hardly any math explained at all. These topics are far too subtle to compress into 2-minute videos, and there should be references for further reading. This was by far the worst of the AI engineering stream."", ""Uselessly filled with complex mathematical notation and not focused on explaining concepts in an easy way. First few courses of the certificate were amazing, but the next few by this instructor are abysmal."", ""Badly curated; videos don't explain much. The Jupyter code snippets are interesting, but the knowledge isn't transmitted well."", ""3 stars because of the videos and materials; if it was only labs it would be 4. Video materials could be much more than slides with AI-generated speech. Even with prior theoretical knowledge, videos were confusing. It felt like explanations were missing glue between the slides and subtopics.""]"
1335637,C001,"Python for Data Science, AI & Development",4.6,Joseph Santarcangelo,Free,Coursera,"[""https://www.coursera.org/learn/python-for-applied-data-science-ai"", ""https://www.coursera.org/learn/python-for-applied-data-science-ai/reviews""]","[""This was an extremely informative course and I believe is perfect way to start off your coding journey. The teaching style was understandable.detail oriented and very practical. Highly Recommended."", ""It is a good course if you have previous knowledge in python, in my case I did not have too much expertise in Programming and it was very difficult the las 2 weeks (4 and 5). However i learned a lot."", ""All the basics for Data Science with Python. You wont be a master programmer after this class but you will understand the basics and computer logic in regards to data handling and cloud management."", ""Course focuses more on forcing you to sign up for various IBM cloud tools than learning python. The final assignment has a 300+ reply thread in the discussion forum because you are graded on the ability to integrate your IBM Watson Notebook with IBM cloud storage, but the instructions have multiple errors... This class is a shameless excuse for making you sign up for products you don't want, and then grading you on your ability to use them, not your ability to write python code."", ""In addition, I would like to see how should have been done the final assignment... I haven't learned anything... My money is going to waste. IBM says that you don't need previous knowledge of python or programming... that is a lie... The problem is this rubbish course."", ""The worst course I took. I couldn't believe the course is provided by IBM! ... I'm probably never going to pay money for a coursera course again... not really worth it."", ""I had a lot of problems with the Peer Assignment, which had nothing to do with Python Programming. ... I should not recommend this Specialization, because of the difficulties with the Watson environment. I am willing to help solving the problems."", ""Every course has offered something interesting, challenging, and surprising. I am glad I have spent the time with this class. I would strongly recommend it to others with an interest in data science."", ""As in the other parts of the certificate, the tasks are simply too easy. ... Actually, 2 stars are in my opinion unfair, since the creators have put a lot of time and love in the course content. Unfortunately, so much potential is thrown away."", ""The course content is good. However, the instructions for the final peer graded assignment are unclear... Although I completed, I would not recommend to others until changes are made.""]"
